date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:22:52	152080/152080	---M--	200	added ('OK')	image/jpeg	etag:%226240044a-262d0%22	https://templates.hibootstrap.com/pily/default/assets/images/subscribe-bg.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/subscribe-bg.jpg	(from https://templates.hibootstrap.com/pily/default/assets/css/style.css)
18:22:52	429666/429666	---M--	200	added ('OK')	image/jpeg	etag:%2262400447-71ec8%22	https://templates.hibootstrap.com/pily/default/assets/images/footer-bg.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/footer-bg.jpg	(from https://templates.hibootstrap.com/pily/default/assets/css/style.css)
18:22:53	123721/123721	---M--	200	added ('OK')	image/jpeg	etag:%2262400447-20869%22	https://templates.hibootstrap.com/pily/default/assets/images/election-bg.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/election-bg.jpg	(from https://templates.hibootstrap.com/pily/default/assets/css/style.css)
18:22:53	143905/143905	---M--	200	added ('OK')	image/jpeg	etag:%226240045f-24ccf%22	https://templates.hibootstrap.com/pily/default/assets/images/banner/countdown-bg.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/banner/countdown-bg.jpg	(from https://templates.hibootstrap.com/pily/default/assets/css/style.css)
18:22:53	195704/195704	---M--	200	added ('OK')	image/jpeg	etag:%226240045e-2fc78%22	https://templates.hibootstrap.com/pily/default/assets/images/banner/banner-bg2.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/banner/banner-bg2.jpg	(from https://templates.hibootstrap.com/pily/default/assets/css/style.css)
18:22:54	156742/156742	---M--	200	added ('OK')	image/jpeg	etag:%226240046a-27785%22	https://templates.hibootstrap.com/pily/default/assets/images/page-title/page-title-bg.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/page-title/page-title-bg.jpg	(from https://templates.hibootstrap.com/pily/default/assets/css/style.css)
18:22:54	129906/129906	---M--	200	added ('OK')	image/jpeg	etag:%2262400446-2109d%22	https://templates.hibootstrap.com/pily/default/assets/images/contact-bg.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/contact-bg.jpg	(from https://templates.hibootstrap.com/pily/default/assets/css/style.css)
18:22:54	199980/199980	---M--	200	added ('OK')	image/jpeg	etag:%226240044a-3233f%22	https://templates.hibootstrap.com/pily/default/assets/images/user-bg.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/user-bg.jpg	(from https://templates.hibootstrap.com/pily/default/assets/css/style.css)
18:22:55	1008/1008	---M--	200	added ('OK')	image/png	etag:%2262400449-422%22	https://templates.hibootstrap.com/pily/default/assets/images/night.png	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/night.png	(from https://templates.hibootstrap.com/pily/default/assets/css/theme-dark.css)
18:22:55	534448/534448	---M--	200	added ('OK')	image/jpeg	etag:%2262400448-827b0%22	https://templates.hibootstrap.com/pily/default/assets/images/ideology-bg.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/ideology-bg.jpg	(from https://templates.hibootstrap.com/pily/default/assets/css/style.css)
18:22:55	969/969	---M--	200	added ('OK')	image/png	etag:%226240044a-3c9%22	https://templates.hibootstrap.com/pily/default/assets/images/sunny.png	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/sunny.png	(from https://templates.hibootstrap.com/pily/default/assets/css/theme-dark.css)
18:22:55	4891/4891	---M--	200	added ('OK')	image/png	etag:%2262400449-131b%22	https://templates.hibootstrap.com/pily/default/assets/images/logo-two.png	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/logo-two.png	(from https://templates.hibootstrap.com/pily/default/index-2.html)
18:22:56	5781/5781	---M--	200	added ('OK')	image/png	etag:%226240045f-1695%22	https://templates.hibootstrap.com/pily/default/assets/images/banner/banner-shape3.png	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/banner/banner-shape3.png	(from https://templates.hibootstrap.com/pily/default/index-2.html)
18:22:56	186749/186749	---M--	200	added ('OK')	image/png	etag:%226240045e-2d97d%22	https://templates.hibootstrap.com/pily/default/assets/images/banner/banner-main3.png	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/banner/banner-main3.png	(from https://templates.hibootstrap.com/pily/default/index-2.html)
18:22:56	148526/148526	---M--	200	added ('OK')	image/png	etag:%226240045e-2442e%22	https://templates.hibootstrap.com/pily/default/assets/images/banner/banner-main4.png	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/banner/banner-main4.png	(from https://templates.hibootstrap.com/pily/default/index-2.html)
18:22:57	182522/182522	---M--	200	added ('OK')	image/png	etag:%226240045e-2c8fa%22	https://templates.hibootstrap.com/pily/default/assets/images/banner/banner-main2.png	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/banner/banner-main2.png	(from https://templates.hibootstrap.com/pily/default/index-2.html)
18:22:57	5781/5781	---M--	200	added ('OK')	image/png	etag:%2262400445-1695%22	https://templates.hibootstrap.com/pily/default/assets/images/about-shape1.png	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/about-shape1.png	(from https://templates.hibootstrap.com/pily/default/index-2.html)
18:22:57	160661/160661	---M--	200	added ('OK')	image/jpeg	etag:%2262400448-28e49%22	https://templates.hibootstrap.com/pily/default/assets/images/live-main.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/live-main.jpg	(from https://templates.hibootstrap.com/pily/default/index-2.html)
